"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
317, -7.417417727387380e+00, 6.706855765367214e+00, 5.609737591493785e-02, 1.121947518298757e-01, 3.125232941285991e-05, 3.456337668779567e-05, 0.000000000000000e+00
318, -7.375131173581726e+00, 6.753328081210260e+00, 4.677389809391019e-02, 9.354779618782039e-02, 3.184023769466313e-05, 3.477188236264084e-05, 0.000000000000000e+00
319, -7.332553462225587e+00, 6.799533787224207e+00, 4.010405892910526e-02, 8.020811785821053e-02, 3.129431253830547e-05, 3.374749312693640e-05, 0.000000000000000e+00
320, -7.289686274214101e+00, 6.845471059286901e+00, 3.280630571884620e-02, 6.561261143769240e-02, 3.051554052271194e-05, 3.249575010573568e-05, 0.000000000000000e+00
321, -7.246531301870452e+00, 6.891138083873499e+00, 2.225677063671375e-02, 4.451354127342751e-02, 3.061891807040290e-05, 3.219801221888418e-05, 0.000000000000000e+00
322, -7.203090248879054e+00, 6.936533058128065e+00, 1.040403247924147e-02, 2.080806495848293e-02, 3.195313046258565e-05, 3.318102581325165e-05, 0.000000000000000e+00
323, -7.159364830218297e+00, 6.981654189934742e+00, 1.816506909718094e-03, 3.633013819436188e-03, 3.291077964446332e-05, 3.374848881248261e-05, 0.000000000000000e+00
324, -7.115356772092838e+00, 7.026499697988507e+00, -1.512571672799791e-03, -3.025143345599582e-03, 3.186819664072262e-05, 3.227120166914162e-05, 0.000000000000000e+00
325, -7.071067811865460e+00, 7.071067811865491e+00, -4.182638372278722e-03, -8.365276744557445e-03, 2.965338976677691e-05, 2.965338976677690e-05, 0.000000000000000e+00
326, -7.026499697988475e+00, 7.115356772092870e+00, -1.482813737712676e-02, -2.965627475425352e-02, 2.951869861026486e-05, 2.915006703297540e-05, 0.000000000000000e+00
327, -6.981654189934710e+00, 7.159364830218329e+00, -2.547985739800009e-02, -5.095971479600017e-02, 3.042639246568295e-05, 2.967114478452256e-05, 0.000000000000000e+00
328, -6.936533058128031e+00, 7.203090248879086e+00, -3.448759701562977e-02, -6.897519403125954e-02, 3.125212782297651e-05, 3.009561317306152e-05, 0.000000000000000e+00
329, -6.891138083873466e+00, 7.246531301870483e+00, -4.462300191141524e-02, -8.924600382283047e-02, 3.274219962709229e-05, 3.113641677664529e-05, 0.000000000000000e+00
330, -6.845471059286867e+00, 7.289686274214134e+00, -5.514129495180038e-02, -1.102825899036008e-01, 3.384265492733991e-05, 3.178036833958469e-05, 0.000000000000000e+00
331, -6.799533787224172e+00, 7.332553462225619e+00, -6.375506280570120e-02, -1.275101256114024e-01, 3.546676402896258e-05, 3.288860580161975e-05, 0.000000000000000e+00
332, -6.753328081210225e+00, 7.375131173581757e+00, -6.697242268695654e-02, -1.339448453739131e-01, 3.623702659509560e-05, 3.318185446800180e-05, 0.000000000000000e+00
333, -6.706855765367180e+00, 7.417417727387409e+00, -7.426889576424109e-02, -1.485377915284822e-01, 3.571486288900887e-05, 3.229350737413837e-05, 0.000000000000000e+00
334, -6.660118674342495e+00, 7.459411454241840e+00, -8.616356252075293e-02, -1.723271250415059e-01, 3.614590873872107e-05, 3.227279300365506e-05, 0.000000000000000e+00
335, -6.613118653236497e+00, 7.501110696304615e+00, -9.643559625424285e-02, -1.928711925084857e-01, 3.602174925269553e-05, 3.175744387062099e-05, 0.000000000000000e+00
336, -6.565857557529543e+00, 7.542513807361058e+00, -1.050218065472182e-01, -2.100436130944363e-01, 3.436239368311323e-05, 2.991291604118578e-05, 0.000000000000000e+00
337, -6.518337253008766e+00, 7.583619152887238e+00, -1.197018520249234e-01, -2.394037040498469e-01, 3.439163395491574e-05, 2.956059162264459e-05, 0.000000000000000e+00
338, -6.470559615694420e+00, 7.624425110114498e+00, -1.326820752828061e-01, -2.653641505656121e-01, 3.613936993896152e-05, 3.067010879987191e-05, 0.000000000000000e+00
339, -6.422526531765821e+00, 7.664930068093518e+00, -1.379551056228040e-01, -2.759102112456081e-01, 3.632822215933458e-05, 3.043980422488707e-05, 0.000000000000000e+00
340, -6.374239897486873e+00, 7.705132427757913e+00, -1.412648257858999e-01, -2.825296515717998e-01, 3.528511438611243e-05, 2.919038524205944e-05, 0.000000000000000e+00
341, -6.325701619131220e+00, 7.745030601987358e+00, -1.524280415987314e-01, -3.048560831974628e-01, 3.626389716545673e-05, 2.961829394924184e-05, 0.000000000000000e+00
342, -6.276913612906981e+00, 7.784623015670254e+00, -1.635274364155570e-01, -3.270548728311141e-01, 3.860751160843809e-05, 3.113009001048005e-05, 0.000000000000000e+00
343, -6.227877804881100e+00, 7.823908105765901e+00, -1.674844930538665e-01, -3.349689861077329e-01, 3.882943341115512e-05, 3.090846201775166e-05, 0.000000000000000e+00
344, -6.178596130903317e+00, 7.862884321366209e+00, -1.693620038042473e-01, -3.387240076084947e-01, 3.763915007614540e-05, 2.957656472180529e-05, 0.000000000000000e+00
345, -6.129070536529738e+00, 7.901550123756924e+00, -1.757104129438145e-01, -3.514208258876291e-01, 3.716520385403233e-05, 2.882828715355519e-05, 0.000000000000000e+00
346, -6.079302976946027e+00, 7.939903986478374e+00, -1.866710476896682e-01, -3.733420953793365e-01, 3.801423456526721e-05, 2.910615163010954e-05, 0.000000000000000e+00
347, -6.029295416890220e+00, 7.977944395385731e+00, -1.963648218411934e-01, -3.927296436823869e-01, 3.890959950654879e-05, 2.940575395756747e-05, 0.000000000000000e+00
348, -5.979049830575160e+00, 8.015669848708786e+00, -2.043490957769226e-01, -4.086981915538451e-01, 3.952320002220113e-05, 2.948115215032216e-05, 0.000000000000000e+00
349, -5.928568201610563e+00, 8.053078857111242e+00, -2.109287791184184e-01, -4.218575582368367e-01, 3.998439797662751e-05, 2.943597530967402e-05, 0.000000000000000e+00
350, -5.877852522924702e+00, 8.090169943749496e+00, -2.187104034283147e-01, -4.374208068566294e-01, 3.987617353763031e-05, 2.897173592920878e-05, 0.000000000000000e+00
351, -5.826904796685730e+00, 8.126941644330961e+00, -2.252455033121619e-01, -4.504910066243239e-01, 4.014804729655484e-05, 2.878559482865868e-05, 0.000000000000000e+00
352, -5.775727034222645e+00, 8.163392507171862e+00, -2.307832798569652e-01, -4.615665597139304e-01, 4.094449677103165e-05, 2.896886762400873e-05, 0.000000000000000e+00
353, -5.724321255945878e+00, 8.199521093254544e+00, -2.383689683292244e-01, -4.767379366584488e-01, 4.218454468710597e-05, 2.945024265178783e-05, 0.000000000000000e+00
354, -5.672689491267533e+00, 8.235325976284296e+00, -2.442483933416096e-01, -4.884967866832193e-01, 4.157901883247801e-05, 2.864062258949473e-05, 0.000000000000000e+00
355, -5.620833778521273e+00, 8.270805742745640e+00, -2.517696691609161e-01, -5.035393383218323e-01, 3.980311133785393e-05, 2.705016653235801e-05, 0.000000000000000e+00
356, -5.568756164881847e+00, 8.305958991958150e+00, -2.610610727038757e-01, -5.221221454077515e-01, 3.996918500730111e-05, 2.679746500436732e-05, 0.000000000000000e+00
357, -5.516458706284268e+00, 8.340784336131733e+00, -2.707421711584968e-01, -5.414843423169936e-01, 4.095405754338420e-05, 2.708634562269900e-05, 0.000000000000000e+00
358, -5.463943467342657e+00, 8.375280400421438e+00, -2.788645231819734e-01, -5.577290463639467e-01, 4.137402824344400e-05, 2.699197406298683e-05, 0.000000000000000e+00
359, -5.411212521268723e+00, 8.409445822981713e+00, -2.875877198917394e-01, -5.751754397834787e-01, 4.169827386859027e-05, 2.683152093760795e-05, 0.000000000000000e+00
